isin,ann_cost,rating_class,risk_class,3y_ann_perf,5y_ann_perf,AUM,sharpe_ratio
YY0010298355,0.5,3.0,5.0,-29.9,-12.9,508.0,0.16
YY0010298439,0.5,3.0,5.0,-1.91,7.53,560.0,0.59
YY0010068006,1.41,3.0,4.0,-14.02,20.2,436.0,0.08
YY0060105203,0.24,2.0,2.0,1.62,-0.04,1358.0,-0.57
YY0060105393,0.44,2.0,2.0,-5.96,-14.05,380.0,-0.55
YY0060105476,0.38,3.0,2.0,-3.16,-8.97,1442.0,-0.58
YY0060623346,1.56,4.0,3.0,-1.34,12.58,645.0,0.22
YY0060623189,1.01,4.0,2.0,-3.96,-1.01,2292.0,-0.08
YY0060623262,1.32,3.0,3.0,-5.37,1.83,2255.0,0.11
YY0016030786,1.15,3.0,3.0,-9.65,-12.81,444.0,-0.51
LU0673458609,1.38,3.0,3.0,5.49,17.27,275.0,0.07
LU0686499277,1.59,3.0,3.0,8.26,24.45,180.0,0.18
LU0686498972,1.07,4.0,2.0,3.57,8.8,211.0,-0.07
YY0010079631,1.86,3.0,4.0,3.28,16.43,4042.0,0.42
YY0010304856,1.09,4.0,4.0,-0.89,14.99,157.0,0.23
YY0060032571,1.86,3.0,4.0,0.38,21.18,357.0,0.26
YY0060530764,0.85,4.0,2.0,0.19,-1.29,894.0,0.08
YY0060444255,0.93,4.0,2.0,-0.49,-1.22,269.0,-0.51
YY0010014778,1.81,3.0,4.0,-19.04,-8.55,203.0,0.54
LU1438960566,1.53,4.0,3.0,-10.73,19.42,171.0,-0.59
LU0264925727,0.88,3.0,2.0,-7.67,-2.64,104.0,-0.66
YY0060819324,1.35,4.0,2.0,-1.15,-4.23,242.0,-0.02
YY0010169549,1.54,3.0,4.0,-28.4,-11.52,586.0,-0.35
YY0060036994,1.57,3.0,4.0,-8.64,34.55,282.0,-0.35
YY0010101740,1.39,3.0,4.0,8.35,23.54,242.0,0.48
YY0060669091,1.37,2.0,4.0,22.36,47.41,109.0,0.48
YY0060499663,1.55,4.0,4.0,-24.7,-11.45,407.0,-0.24
YY0060499747,1.54,4.0,4.0,-3.82,20.9,218.0,-0.23
YY0016231921,1.22,4.0,3.0,-9.09,-18.15,1405.0,-0.47
YY0061111572,0.5,5.0,4.0,15.46,74.83,2133.0,0.55
YY0060033116,1.48,3.0,5.0,-19.51,-11.73,240.0,-0.16
YY0015916225,0.24,5.0,2.0,-0.22,-1.53,1519.0,-0.61
YY0060585156,0.38,4.0,2.0,-0.19,-2.3,654.0,-0.65
YY0060585073,0.38,4.0,2.0,-3.28,-7.87,2299.0,-0.66
YY0010270776,1.26,3.0,5.0,4.78,28.58,226.0,0.42
YY0016098825,1.1,3.0,3.0,0.6,5.94,327.0,-0.16
YY0060089415,1.09,3.0,3.0,4.37,12.0,98.0,-0.17
YY0060409266,0.72,4.0,2.0,-5.9,-8.98,277.0,-0.7
