fund_name,isin,currency,category,dividend,ann_cost,rating_class,risk_class,sustainablity_class,3y_ann_perf,5y_ann_perf,AUM_DKK,sharpe_ratio,provider,asset_class,geography
Sparinv Mix Høj Risiko KL A,DK0060623346,DKK,Balanceret - EUR Moderat Risiko Global,Distributing,1.56,4.0,3,Article 8,-1.34,12.58,645.0,0.22,SparInvest,Mixed,Europe
Sparinv Mix Lav Risiko KL A,DK0060623189,DKK,Balanceret - EUR Lav Risiko Global,Distributing,1.01,4.0,2,Article 8,-3.96,-1.01,2292.0,-0.08,SparInvest,Mixed,Europe
Sparinv Mix Mellem Risiko KL A,DK0060623262,DKK,Balanceret - EUR Moderat Risiko Global,Distributing,1.32,3.0,3,Article 8,-5.37,1.83,2255.0,0.11,SparInvest,Mixed,Europe
Sparinv Nye Obligationsmarkeder KL A,DK0016030786,DKK,Obligationer - Nye Markeder EUR Fokus,Distributing,1.15,3.0,3,Article 8,-9.65,-12.81,444.0,-0.51,SparInvest,Bonds,EmergingMarkets
Sparinv SICAV - Balance DKK R,LU0673458609,DKK,Balanceret - EUR Moderat Risiko Global,Accumulating,1.38,3.0,3,Article 8,5.49,17.27,275.0,0.07,SparInvest,Mixed,Europe
Sparinv SICAV - Balance EUR R,LU0650088072,EUR,Balanceret - EUR Moderat Risiko Global,Accumulating,1.38,3.0,3,Article 8,,,22.0,0.08,SparInvest,Mixed,Europe
Sparinv SICAV - Procedo DKK R,LU0686499277,DKK,Balanceret - EUR Høj Risiko Global,Accumulating,1.59,3.0,3,Article 8,8.26,24.45,180.0,0.18,SparInvest,Mixed,Europe
Sparinv SICAV - Securus DKK R,LU0686498972,DKK,Balanceret - EUR Lav Risiko Global,Accumulating,1.07,4.0,2,Article 8,3.57,8.8,211.0,-0.07,SparInvest,Mixed,Europe
Sparinv Value Aktier KL A,DK0010079631,DKK,Aktier - Globale Large Cap Value,Distributing,1.86,3.0,4,Article 8,3.28,16.43,4042.0,0.42,SparInvest,Stocks,Global
Sparinv Value Emerging Markets KL A,DK0010304856,DKK,Aktier - Globale Nye Markeder,Distributing,1.09,4.0,4,Article 8,-0.89,14.99,157.0,0.23,SparInvest,Stocks,EmergingMarkets
Sparinv Value Europa KL A,DK0060032571,DKK,Aktier - Europa Fleksibel Cap,Distributing,1.86,3.0,4,Article 8,0.38,21.18,357.0,0.26,SparInvest,Stocks,Europe
Sparinv Virksomhedsobligationer HY KortA,DK0060530764,DKK,Obligationer - Globale Højrente EUR Valutasikret,Distributing,0.85,4.0,2,Article 8,0.19,-1.29,894.0,0.08,SparInvest,Bonds,Global
Sparinvest Bæredygtige Aktier Akk. KL A,DK0060012896,DKK,Aktier - Globale Fleksibel Cap,Accumulating,1.71,4.0,4,Article 9,15.66,56.24,200.0,,SparInvest,Stocks,Global
Sparinvest Bæredygtige Aktier KL A,DK0061294048,DKK,Aktier - Globale Large Cap Blend,Distributing,1.7,3.0,4,Article 9,11.38,,581.0,0.41,SparInvest,Stocks,Global
Sparinvest Bæredygtige Virk.obl IG KL A,DK0060444255,DKK,Obligationer - EUR Virksomheder,Distributing,0.93,4.0,2,Article 8,-0.49,-1.22,269.0,-0.51,SparInvest,Bonds,Europe
Sparinvest Mix Aktier KL A,DK0010014778,DKK,Aktier - Globale Large Cap Blend,Distributing,1.81,3.0,4,Article 8,-19.04,-8.55,203.0,0.54,SparInvest,Stocks,Global
Sparinvest SICAV Glob Conver Bonds EUR R,LU1438960566,EUR,Konvertible Obligationer - Globale EUR Valutasikret,Accumulating,1.53,4.0,3,Article 8,-10.73,19.42,171.0,-0.59,SparInvest,Bonds,Global
Sparinvest SICAV Sust CorpBonds IG EUR R,LU0264925727,EUR,Obligationer - Globale Virksomheder EUR Valutasikret,Accumulating,0.88,3.0,2,Article 8,-7.67,-2.64,104.0,-0.66,SparInvest,Bonds,Global
Sparinvest Virksomhedsobl HY KL A,DK0060819324,DKK,Obligationer - Globale Højrente EUR Valutasikret,Distributing,1.35,4.0,2,Article 8,-1.15,-4.23,242.0,-0.02,SparInvest,Bonds,Global
Sydinvest Fjernøsten A DKK,DK0010169549,DKK,Aktier - Asien ex. Japan,Distributing,1.54,3.0,4,Article 8,-28.4,-11.52,586.0,-0.35,SydInvest,Stocks,Asia
Sydinvest Fjernøsten A DKK Akk,DK0060036994,DKK,Aktier - Asien ex. Japan,Accumulating,1.57,3.0,4,Article 8,-8.64,34.55,282.0,-0.35,SydInvest,Stocks,Asia
Sydinvest Formue Obligationer A DKK,DK0061806981,DKK,Obligationer - Globale Virksomheder EUR Valutasikret,Distributing,0.71,,2,Article 8,,,132.0,,SydInvest,Bonds,Global
Sydinvest Global Value A DKK,DK0010101740,DKK,Aktier - Globale Large Cap Value,Distributing,1.39,3.0,4,Article 8,8.35,23.54,242.0,0.48,SydInvest,Stocks,Global
Sydinvest Global Value A DKK Akk,DK0060669091,DKK,Aktier - Globale Large Cap Value,Accumulating,1.37,2.0,4,Article 8,22.36,47.41,109.0,0.48,SydInvest,Stocks,Global
Sydinvest Globale EM-aktier A DKK,DK0060499663,DKK,Aktier - Globale Nye Markeder,Distributing,1.55,4.0,4,Article 8,-24.7,-11.45,407.0,-0.24,SydInvest,Stocks,EmergingMarkets
Sydinvest Globale EM-aktier A DKK Akk,DK0060499747,DKK,Aktier - Globale Nye Markeder,Accumulating,1.54,4.0,4,Article 8,-3.82,20.9,218.0,-0.23,SydInvest,Stocks,EmergingMarkets
Sydinvest HøjrenteLande A DKK,DK0016231921,DKK,Obligationer - Nye Markeder EUR Fokus,Distributing,1.22,4.0,3,Article 8,-9.09,-18.15,1405.0,-0.47,SydInvest,Bonds,EmergingMarkets
Sydinvest Indeks Danmark A DKK,DK0061541232,DKK,Aktier - Danmark,Distributing,0.3,2.0,4,Article 6,-5.73,,300.0,-0.06,SydInvest,Stocks,Denmark
Sydinvest Indeks Glob Akt Lav Risiko KL,DK0061281490,DKK,Aktier - Globale Large Cap Blend,Distributing,0.5,3.0,4,Article 6,6.44,,427.0,0.44,SydInvest,Stocks,Global
Sydinvest Indeks Morningstar Leaders KL,DK0061111572,DKK,Aktier - Globale Large Cap Blend,Distributing,0.5,5.0,4,Article 8,15.46,74.83,2133.0,0.55,SydInvest,Stocks,Global
Sydinvest Indeks Tyskland A DKK,DK0060033116,DKK,Aktier - Tyskland,Distributing,1.48,3.0,5,Article 8,-19.51,-11.73,240.0,-0.16,SydInvest,Stocks,Europe
Sydinvest Korte Obligationer A DKK,DK0015916225,DKK,Obligationer - DKK Korte Indenlandske,Distributing,0.24,5.0,2,Article 8,-0.22,-1.53,1519.0,-0.61,SydInvest,Bonds,Denmark
Sydinvest Kvalitetsaktier A DKK,DK0061533643,DKK,Aktier - Globale Large Cap Blend,Distributing,1.4,3.0,4,Article 8,20.41,,1002.0,0.42,SydInvest,Stocks,Global
Sydinvest Megatrends A DKK,DK0062382628,DKK,Aktier - Globale Large Cap Growth,Distributing,1.57,,5,Without classification,,,1086.0,,SydInvest,Stocks,Global
Sydinvest Megatrends A DKK Akk,DK0062382891,DKK,Aktier - Globale Large Cap Growth,Accumulating,1.56,,5,Without classification,,,1052.0,,SydInvest,Stocks,Global
Sydinvest Mellemlange Obl A DKK Akk,DK0060585156,DKK,Obligationer - DKK Indenlandske,Accumulating,0.38,4.0,2,Article 8,-0.19,-2.3,654.0,-0.65,SydInvest,Bonds,Denmark
Sydinvest Mellemlange Obligationer A DKK,DK0060585073,DKK,Obligationer - DKK Indenlandske,Distributing,0.38,4.0,2,Article 8,-3.28,-7.87,2299.0,-0.66,SydInvest,Bonds,Denmark
Sydinvest USA Value A DKK,DK0010270776,DKK,Aktier - USA Large Cap Value,Distributing,1.26,3.0,5,Article 8,4.78,28.58,226.0,0.42,SydInvest,Stocks,US
Sydinvest Virksomhedsobl HY A DKK,DK0016098825,DKK,Obligationer - EUR Højrente,Distributing,1.1,3.0,3,Article 8,0.6,5.94,327.0,-0.16,SydInvest,Bonds,Europe
Sydinvest Virksomhedsobl HY A DKK Akk,DK0060089415,DKK,Obligationer - EUR Højrente,Accumulating,1.09,3.0,3,Article 8,4.37,12.0,98.0,-0.17,SydInvest,Bonds,Europe
Sydinvest Virksomhedsobl IG A DKK,DK0060409266,DKK,Obligationer - Globale Virksomheder EUR Valutasikret,Distributing,0.72,4.0,2,Article 8,-5.9,-8.98,277.0,-0.7,SydInvest,Bonds,Global
