fund_name,isin,currency,category,dividend,ann_cost,rating_class,risk_class,sustainablity_class,3y_ann_perf,5y_ann_perf,AUM_DKK,sharpe_ratio,provider,asset_class,geography
BankInvest Optima 30 Akk. KL,DK0060745966,DKK,Balanceret - EUR Lav Risiko Global,Accumulating,1.16,5.0,3,Article 8,3.49,15.77,916.0,0.21,BankInvest,Mixed,Europe
BankInvest Optima 30 KL,DK0060762623,DKK,Balanceret - EUR Lav Risiko Global,Distributing,1.14,5.0,3,Article 8,-1.23,7.51,3377.0,0.22,BankInvest,Mixed,Europe
BankInvest Optima 55 Akk. KL,DK0060335636,DKK,Balanceret - EUR Moderat Risiko Global,Accumulating,1.39,4.0,3,Article 8,7.14,27.28,1860.0,0.34,BankInvest,Mixed,Europe
BankInvest Optima 55 KL,DK0060762706,DKK,Balanceret - EUR Moderat Risiko Global,Distributing,1.37,4.0,3,Article 8,0.26,14.89,3306.0,0.35,BankInvest,Mixed,Europe
BankInvest Optima 75 Akk. KL,DK0060089092,DKK,Balanceret - EUR Høj Risiko Global,Accumulating,1.53,3.0,4,Article 8,11.0,38.79,1103.0,0.41,BankInvest,Mixed,Europe
BankInvest Optima 75 KL,DK0060762896,DKK,Balanceret - EUR Høj Risiko Global,Distributing,1.52,4.0,4,Article 8,0.46,19.44,1296.0,0.43,BankInvest,Mixed,Europe
BankInvest Optima Aktier Akk. KL,DK0061152410,DKK,Aktier - Globale Large Cap Blend,Accumulating,1.73,2.0,4,Article 8,,,441.0,0.59,BankInvest,Stocks,Global
BankInvest Optima Aktier KL,DK0061533569,DKK,Aktier - Globale Large Cap Blend,Distributing,1.85,2.0,4,Article 8,,,144.0,0.13,BankInvest,Stocks,Global
BankInvest Optima Rente A,DK0061272747,DKK,Obligationer - DKK Øvrige,Distributing,0.6,4.0,2,Article 8,-3.02,,1145.0,-0.54,BankInvest,Bonds, DKK Øvrige
BankInvest Optima Rente Akk. A,DK0061272903,DKK,Obligationer - DKK Øvrige,Accumulating,0.63,4.0,2,Article 8,-1.55,,854.0,-0.54,BankInvest,Bonds, DKK Øvrige
BankInvest Value Globale Aktier A,DK0060978716,DKK,Aktier - Globale Large Cap Value,Distributing,1.6,1.0,4,Article 8,-10.51,-7.37,329.0,0.11,BankInvest,Stocks,Global
BankInvest Virk.obl HY Jyske Capital A,DK0060461424,DKK,Obligationer - Globale Højrente EUR Valutasikret,Distributing,1.27,4.0,3,Article 8,3.07,11.57,3932.0,0.16,BankInvest,Bonds,Global
BankInvest Virksomhedsobl IG Akk. A,DK0060019636,DKK,Obligationer - EUR Virksomheder,Accumulating,1.02,3.0,2,Article 8,-3.84,-2.61,872.0,-0.28,BankInvest,Bonds,Europe
BankInvest Virksomhedsobligationer IG A,DK0010296813,DKK,Obligationer - EUR Virksomheder,Distributing,0.93,3.0,2,Article 8,-7.23,-8.24,6468.0,-0.28,BankInvest,Bonds,Europe
Danske Inv Danmark - Akk kl DKK,DK0016208515,DKK,Aktier - Danmark,Accumulating,1.28,3.0,4,Article 8,2.11,64.36,1848.0,0.09,DanskeInvest,Stocks,Denmark
Danske Inv Danmark Fokus kl DKK d,DK0060244325,DKK,Aktier - Danmark,Distributing,1.38,3.0,4,Article 8,-26.62,2.91,3804.0,0.13,DanskeInvest,Stocks,Denmark
Danske Inv Danmark Indeks kl DKK d,DK0010266238,DKK,Aktier - Danmark,Distributing,0.28,3.0,4,Article 8,-24.41,5.12,2770.0,-0.02,DanskeInvest,Stocks,Denmark
"Danske Inv Danmark, klasse DKK d",DK0010252873,DKK,Aktier - Danmark,Distributing,1.28,3.0,4,Article 8,-33.7,-11.34,1162.0,0.09,DanskeInvest,Stocks,Denmark
Danske Inv Dannebr Mellemla. Obl kl DKKd,DK0010078070,DKK,Obligationer - DKK Øvrige,Distributing,0.43,3.0,2,Article 8,-7.01,-12.73,5155.0,-0.58,DanskeInvest,Bonds, DKK Øvrige
