Date,Close/Last,Volume,Open,High,Low
11/26/2024,$353.69,47891000,$382.78,$402.9999,$338.6701
11/25/2024,$403.45,40180420,$440.75,$440.75,$383.80
11/22/2024,$421.88,55935010,$403.60,$453.00,$393.10
11/21/2024,$397.28,100444000,$535.63,$543.00,$371.8401
11/20/2024,$473.83,70212630,$463.40,$504.83,$457.3024
11/19/2024,$430.54,50954500,$389.50,$449.00,$381.00
11/18/2024,$384.79,32745920,$345.415,$388.4899,$339.375
11/15/2024,$340.65,25841970,$336.60,$349.94,$324.10
11/14/2024,$327.67,26605690,$341.77,$348.00,$318.62
11/13/2024,$328.38,46238500,$366.98,$383.40,$321.70
11/12/2024,$356.59,39705750,$334.77,$360.89,$325.50
11/11/2024,$340.00,47315730,$297.00,$351.73,$293.30
11/08/2024,$270.42,18764220,$275.575,$279.3799,$262.60
11/07/2024,$270.81,23931690,$256.80,$280.8007,$252.70
11/06/2024,$257.81,26270430,$260.00,$261.20,$242.69
11/05/2024,$227.80,17993880,$233.34,$243.4563,$225.43
11/04/2024,$222.99,13438760,$226.97,$231.68,$220.82
11/01/2024,$229.71,26258860,$245.33,$255.75,$225.93
10/31/2024,$244.50,21954120,$251.12,$252.88,$237.00
10/30/2024,$247.31,20593320,$246.50,$255.80,$239.00
10/29/2024,$258.24,25958550,$264.25,$267.89,$251.24
10/28/2024,$255.34,23181970,$244.64,$259.50,$242.77
10/25/2024,$234.34,25093210,$236.385,$245.5657,$227.75
10/24/2024,$235.89,23221550,$220.09,$236.29,$218.25
10/23/2024,$213.95,17025500,$215.08,$222.85,$204.91
10/22/2024,$219.70,13758060,$216.21,$221.40,$212.084
10/21/2024,$219.05,18028630,$214.49,$223.15,$208.45
10/18/2024,$215.86,22814820,$197.59,$218.65,$197.10
10/17/2024,$193.42,11414280,$192.80,$198.88,$185.81
10/16/2024,$194.09,12434580,$199.90,$200.615,$191.96
10/15/2024,$194.31,23114600,$206.73,$211.1599,$189.70
10/14/2024,$201.67,31736610,$224.48,$227.15,$201.43
10/11/2024,$212.59,29933780,$188.50,$212.81,$187.41
10/10/2024,$183.34,15937520,$191.89,$192.20,$178.00
10/09/2024,$188.91,13445320,$189.77,$198.3899,$185.25
10/08/2024,$192.20,20984760,$186.10,$198.49,$184.45
10/07/2024,$186.09,19825950,$179.71,$191.99,$178.80
10/04/2024,$176.51,14069710,$166.72,$176.55,$163.9651
10/03/2024,$163.41,8814224,$163.39,$165.86,$157.82
10/02/2024,$164.64,12557460,$160.51,$173.88,$159.16
10/01/2024,$162.69,14103320,$168.52,$169.4299,$157.02
09/30/2024,$168.60,13443440,$168.63,$175.5064,$167.314
09/27/2024,$176.22,17321180,$170.48,$179.60,$168.305
09/26/2024,$165.98,17068470,$157.63,$167.51,$156.3806
09/25/2024,$151.94,7839376,$152.30,$157.88,$151.50
09/24/2024,$153.88,9365235,$150.16,$154.33,$146.7074
09/23/2024,$149.97,10090260,$147.48,$151.59,$145.0149
09/20/2024,$144.78,12332320,$144.39,$148.03,$141.64
09/19/2024,$144.66,20177340,$140.45,$148.96,$139.62
09/18/2024,$132.67,16345620,$130.44,$139.49,$128.51
